Date,Close,High,Low,Open,Volume,Ticker,KSE100_Close,CompanyName,Sector
2020-01-01,72.49,72.85,70.92,71.73,1501000.0,DGKC,41400.0,DG Khan Cement Company,Cement
2020-01-02,75.54,75.98,72.27,72.27,5511500.0,DGKC,41400.0,DG Khan Cement Company,Cement
2020-01-03,74.8,77.1,74.0,76.42,6771000.0,DGKC,41400.0,DG Khan Cement Company,Cement
2020-01-06,71.06,73.91,71.06,73.91,3836000.0,DGKC,34021.97,DG Khan Cement Company,Cement
2020-01-07,72.49,72.85,71.5,71.79,2105500.0,DGKC,34889.41,DG Khan Cement Company,Cement
2020-01-08,69.44,72.37,68.9,71.31,4406000.0,DGKC,34889.41,DG Khan Cement Company,Cement
2020-01-09,72.9,72.9,71.69,72.22,3369000.0,DGKC,41377.26,DG Khan Cement Company,Cement
2020-01-10,73.88,74.82,72.85,73.52,3612500.0,DGKC,40676.92,DG Khan Cement Company,Cement
2020-01-13,73.9,75.02,72.85,73.52,3269500.0,DGKC,43218.67,DG Khan Cement Company,Cement
2020-01-14,72.7,74.49,72.46,74.2,1955500.0,DGKC,43207.04,DG Khan Cement Company,Cement
2020-01-15,74.06,75.05,72.7,72.75,4281000.0,DGKC,42993.03,DG Khan Cement Company,Cement
2020-01-16,75.57,75.98,73.71,74.0,4138500.0,DGKC,43065.1,DG Khan Cement Company,Cement
2020-01-17,75.5,76.61,75.37,76.1,2552000.0,DGKC,43167.77,DG Khan Cement Company,Cement
2020-01-20,73.37,75.63,72.75,75.52,2148500.0,DGKC,42747.63,DG Khan Cement Company,Cement
2020-01-21,73.06,73.7,72.28,73.23,1177000.0,DGKC,42626.48,DG Khan Cement Company,Cement
2020-01-22,73.81,74.44,71.84,73.38,2966500.0,DGKC,42561.27,DG Khan Cement Company,Cement
2020-01-23,73.9,76.89,73.52,74.51,12823000.0,DGKC,42506.95,DG Khan Cement Company,Cement
2020-01-24,74.75,75.04,73.14,73.29,4633500.0,DGKC,42633.03,DG Khan Cement Company,Cement
2020-01-27,75.3,76.88,74.87,75.14,9081000.0,DGKC,42539.23,DG Khan Cement Company,Cement
2020-01-28,75.6,76.51,74.77,75.16,7014500.0,DGKC,42299.19,DG Khan Cement Company,Cement
2020-01-29,73.54,75.64,73.09,75.64,4779500.0,DGKC,41898.7,DG Khan Cement Company,Cement
2020-01-30,73.65,73.95,72.62,73.21,4328500.0,DGKC,41903.51,DG Khan Cement Company,Cement
2020-01-31,71.94,74.29,71.4,74.1,3959000.0,DGKC,41630.94,DG Khan Cement Company,Cement
2020-02-03,68.56,70.34,67.84,70.34,4015000.0,DGKC,39296.3,DG Khan Cement Company,Cement
